var_name_final,coverage_full,coverage_fit
focus_dgdp_year_3,0.3822463768115942,0.3822463768115942
focus_dgdp_year_2,0.3822463768115942,0.3822463768115942
focus_dgdp_year_1,0.3822463768115942,0.3822463768115942
focus_dgdp_year_0,0.3822463768115942,0.3822463768115942
focus_dgdp_next_12_average,0.38315217391304346,0.38315217391304346
focus_dgdp_next_12_median,0.38315217391304346,0.38315217391304346
focus_dgdp_year_4,0.38315217391304346,0.38315217391304346
focus_indp_next_12_median,0.6947463768115942,0.6947463768115942
focus_indp_next_12_average,0.6947463768115942,0.6947463768115942
bbg_energy_future,0.7065217391304348,0.7065217391304348
focus_primary_year_4,0.7137681159420289,0.7137681159420289
focus_gdp_year_4,0.7309782608695652,0.7309782608695652
focus_selic_year_0,0.8188405797101449,0.8188405797101449
focus_fdi_year_4,0.8242753623188406,0.8242753623188406
focus_ca_year_4,0.8342391304347826,0.8342391304347826
focus_nominal_year_4,0.8405797101449275,0.8405797101449275
focus_primary_year_3,0.8432971014492754,0.8432971014492754
focus_net_debt_year_4,0.8532608695652174,0.8532608695652174
focus_primary_year_2,0.8731884057971014,0.8731884057971014
focus_ipca_year_4,0.875,0.875
focus_ca_year_2,0.8858695652173914,0.8858695652173914
focus_trade_b_year_4,0.8894927536231884,0.8894927536231884
focus_primary_year_1,0.8976449275362319,0.8976449275362319
focus_ca_year_0,0.8985507246376812,0.8985507246376812
focus_ca_year_3,0.9021739130434783,0.9021739130434783
focus_gdp_year_0,0.9021739130434783,0.9021739130434783
focus_primary_year_0,0.9021739130434783,0.9021739130434783
focus_gdp_year_1,0.9030797101449275,0.9030797101449275
focus_fx_brl_year_4,0.9030797101449275,0.9030797101449275
focus_fdi_year_0,0.904891304347826,0.904891304347826
focus_fdi_year_1,0.904891304347826,0.904891304347826
focus_fdi_year_2,0.904891304347826,0.904891304347826
focus_net_debt_year_0,0.904891304347826,0.904891304347826
focus_ipca_next_12_average,0.904891304347826,0.904891304347826
focus_ipca_year_1,0.904891304347826,0.904891304347826
focus_ipca_next_12_median,0.904891304347826,0.904891304347826
focus_ipca_year_2,0.904891304347826,0.904891304347826
focus_nominal_year_3,0.904891304347826,0.904891304347826
focus_nominal_year_2,0.904891304347826,0.904891304347826
focus_ca_year_1,0.904891304347826,0.904891304347826
focus_selic_year_3,0.904891304347826,0.904891304347826
focus_trade_b_year_1,0.904891304347826,0.904891304347826
focus_trade_b_year_0,0.904891304347826,0.904891304347826
focus_selic_year_4,0.904891304347826,0.904891304347826
focus_selic_year_1,0.904891304347826,0.904891304347826
focus_selic_year_2,0.904891304347826,0.904891304347826
focus_trade_b_year_3,0.904891304347826,0.904891304347826
focus_trade_b_year_2,0.904891304347826,0.904891304347826
focus_net_debt_year_1,0.904891304347826,0.904891304347826
focus_nominal_year_1,0.904891304347826,0.904891304347826
focus_net_debt_year_2,0.904891304347826,0.904891304347826
focus_net_debt_year_3,0.904891304347826,0.904891304347826
focus_nominal_year_0,0.904891304347826,0.904891304347826
focus_fx_brl_year_2,0.904891304347826,0.904891304347826
focus_fx_brl_year_3,0.904891304347826,0.904891304347826
focus_ipca_year_3,0.904891304347826,0.904891304347826
focus_gdp_year_2,0.904891304347826,0.904891304347826
focus_gdp_year_3,0.904891304347826,0.904891304347826
focus_fx_brl_year_0,0.904891304347826,0.904891304347826
focus_fdi_year_3,0.904891304347826,0.904891304347826
focus_fx_brl_year_1,0.904891304347826,0.904891304347826
focus_gdp_sd_services,0.9057971014492754,0.9057971014492754
focus_ipca_current_month,0.9057971014492754,0.9057971014492754
focus_ca_sd,0.9057971014492754,0.9057971014492754
focus_primary_next_12_average,0.9057971014492754,0.9057971014492754
focus_primary_next_12_median,0.9057971014492754,0.9057971014492754
focus_ipca_year_0,0.9057971014492754,0.9057971014492754
bbg_citi_em_asia_fc,0.9166666666666666,0.9166666666666666
bbg_us_5y_breakeven_inflation,0.9365942028985508,0.9365942028985508
bbg_1_month_risk_reversal_option,0.9583333333333334,0.9583333333333334
bbg_bbg_surprise_inf_us,0.9990942028985508,0.9990942028985508
bbg_ibov,0.9990942028985508,0.9990942028985508
bbg_fed_funds,0.9990942028985508,0.9990942028985508
bbg_comm,0.9990942028985508,0.9990942028985508
bbg_bbg_surprise_inf_bz,1.0,1.0
bbg_bbg_surprise_growth_us,1.0,1.0
bbg_bbg_asia_fc,1.0,1.0
bbg_wheat,1.0,1.0
bbg_citi_surprise_us,1.0,1.0
bbg_vix,1.0,1.0
bbg_citi_surprise_latam,1.0,1.0
bbg_citi_surprise_global,1.0,1.0
bbg_citi_surprise_g10,1.0,1.0
bbg_citi_surprise_eur,1.0,1.0
bbg_citi_surprise_em,1.0,1.0
bbg_bz_cds_5y,1.0,1.0
bbg_bz_cds_10y,1.0,1.0
bbg_bbg_us_fc,1.0,1.0
bbg_anfavea_bz,1.0,1.0
bbg_bbg_surprise_us,1.0,1.0
