var_name_final,mean_fit,std_fit
bbg_1_month_risk_reversal_option,2.7289046195652173,2.027749080901385
bbg_anfavea_bz,223646.81612318842,61563.35652450335
bbg_bbg_asia_fc,-0.5368242753623188,1.0098517127786688
bbg_bbg_surprise_growth_us,0.04935528079710148,0.47573629155152386
bbg_bbg_surprise_inf_bz,0.09172976449275361,1.3452357225231197
bbg_bbg_surprise_inf_us,0.00014286231884057897,0.11396339922935161
bbg_bbg_surprise_us,0.023343297101449282,0.34162807517613275
bbg_bbg_us_fc,-0.25036322463768124,1.611918746307734
bbg_bz_cds_10y,260.03947463768117,92.37431814776144
bbg_bz_cds_5y,192.29605887681157,83.54158139329834
bbg_citi_em_asia_fc,0.02024547101449276,0.8157984671758812
bbg_citi_surprise_em,6.6951086956521735,27.6114378078048
bbg_citi_surprise_eur,5.837228260869566,65.1099713522543
bbg_citi_surprise_g10,6.932065217391305,34.642661415338395
bbg_citi_surprise_global,6.827264492753623,28.42154070155827
bbg_citi_surprise_latam,0.2848731884057971,38.64632715668217
bbg_citi_surprise_us,6.901721014492755,47.593097237381016
bbg_comm,-0.02182744565217391,3.0461274961984737
bbg_energy_future,1.1547101449275161,21.26418688635244
bbg_fed_funds,0.0012681159420289854,0.10214645920605561
bbg_ibov,149.2035054347826,2327.6223572553317
bbg_us_5y_breakeven_inflation,0.04397047101449253,0.456395301264842
bbg_vix,18.964239130434784,8.617023078762067
bbg_wheat,584.0235507246376,158.84932064410992
focus_ca_sd,15.687033967391306,5.302998545584063
focus_ca_year_0,-0.06632065217391304,1.921186315217764
focus_ca_year_1,-43.05678822463768,21.079209291196225
focus_ca_year_2,-46.35990018115941,17.32929350368415
focus_ca_year_3,-47.69215760869566,17.251256961970373
focus_ca_year_4,-49.35640163043478,16.098736547078023
focus_fdi_year_0,0.05326086956521739,1.383328121197695
focus_fdi_year_1,0.0552536231884058,1.191181576568593
focus_fdi_year_2,0.05615942028985507,1.4088705814365436
focus_fdi_year_3,0.05615942028985507,1.4248142808617164
focus_fdi_year_4,0.06077898550724637,1.6180173486345268
focus_fx_brl_year_0,0.002943840579710144,0.5331206180122307
focus_fx_brl_year_1,0.002871376811594203,0.03024801070694697
focus_fx_brl_year_2,0.0028079710144927536,0.02613771654751044
focus_fx_brl_year_3,0.002735507246376811,0.027857922209223812
focus_fx_brl_year_4,0.002604166666666666,0.04162354690018538
focus_gdp_year_0,1.7908299818840578,2.571400604053873
focus_gdp_year_1,-0.001268115942028985,0.16880121363947734
focus_gdp_year_2,-0.0015851449275362318,0.06112748614114208
focus_gdp_year_3,-0.0016666666666666666,0.04845682051173272
focus_gdp_year_4,-0.0010616847826086949,0.05260877042646689
focus_ipca_current_month,0.42952083333333335,0.25925761207926895
focus_ipca_next_12_average,-5.045289855072451e-05,0.06527606633944331
focus_ipca_next_12_median,-6.693840579710111e-05,0.07379126862582897
focus_ipca_year_0,5.247252173913043,1.5482580334633114
focus_ipca_year_1,-0.00022644927536231884,0.11177620225707949
focus_ipca_year_2,-0.0004981884057971013,0.04567596583996642
focus_ipca_year_3,-0.0004528985507246377,0.04394489622973165
focus_ipca_year_4,0.0008876811594202899,0.0584526041471165
focus_net_debt_year_0,0.019021739130434784,0.4439103016423723
focus_net_debt_year_1,0.02432065217391304,0.38934792112685856
focus_net_debt_year_2,0.028079710144927543,0.4538935061581347
focus_net_debt_year_3,0.031717028985507247,0.5547532399274601
focus_net_debt_year_4,0.032041757246376805,0.631933681943039
focus_nominal_year_0,-0.005869565217391306,0.313900720448937
focus_nominal_year_1,-0.0057971014492753615,0.15599987780654312
focus_nominal_year_2,-0.005851721014492754,0.1413856680028189
focus_nominal_year_3,-0.005697010869565217,0.14520361216454059
focus_nominal_year_4,-0.010144927536231883,0.15773053777481988
focus_primary_year_0,-0.004121376811594204,0.2789352855890684
focus_primary_year_1,-0.004773550724637681,0.0894516453441951
focus_primary_year_2,-0.004236050724637681,0.08212431459787861
focus_primary_year_3,-0.0030253623188405796,0.0757477186116435
focus_primary_year_4,-0.005832427536231883,0.08034084996496225
focus_selic_year_0,0.0012454710144927535,0.1318407597810071
focus_selic_year_1,-0.0004528985507246377,0.2692491632856158
focus_selic_year_2,0.0,0.15976667775998776
focus_selic_year_3,-0.0004528985507246377,0.10530036425679112
focus_selic_year_4,0.0004528985507246377,0.12319079681183426
focus_trade_b_year_0,0.1894021739130435,2.0799534494370264
focus_trade_b_year_1,0.19162137681159422,2.765089017206434
focus_trade_b_year_2,0.19442844202898552,3.7474526678067495
focus_trade_b_year_3,0.1933876811594203,4.395665750555781
focus_trade_b_year_4,0.1379166666666666,7.063145802211014
