eig_real,eig_imag,eig_abs
0.9885671385883362,0.018005902141096663,0.98873110601854
0.9885671385883362,-0.018005902141096663,0.98873110601854
0.9832433073151601,0.0038186393929549745,0.9832507225458151
0.9832433073151601,-0.0038186393929549745,0.9832507225458151
0.9319473333091485,0.02394142989661671,0.9322548064384155
0.9319473333091485,-0.02394142989661671,0.9322548064384155
0.8148305582201031,0.0,0.8148305582201031
0.5042278513933821,0.1915136691653747,0.5393729800406869
0.5042278513933821,-0.1915136691653747,0.5393729800406869
0.19946748819321392,0.31945418374673124,0.37661419829767473
0.19946748819321392,-0.31945418374673124,0.37661419829767473
0.010785767024012467,0.44038384924835333,0.44051591055158573
0.010785767024012467,-0.44038384924835333,0.44051591055158573
0.2927858491057719,0.0,0.2927858491057719
0.1449923730533049,0.18738471235937795,0.2369299868518874
0.1449923730533049,-0.18738471235937795,0.2369299868518874
-0.10794857044868365,0.4153540767467045,0.42915254040028905
-0.10794857044868365,-0.4153540767467045,0.42915254040028905
-0.3353739060225587,0.3553456795705818,0.4886166276645798
-0.3353739060225587,-0.3553456795705818,0.4886166276645798
-0.5169584369525992,0.0,0.5169584369525992
-0.31344852955025915,0.29673739808402777,0.431628386576808
-0.31344852955025915,-0.29673739808402777,0.431628386576808
-0.2277420297929067,0.24623555240973652,0.3354077807754634
-0.2277420297929067,-0.24623555240973652,0.3354077807754634
-0.41100098144949204,0.0,0.41100098144949204
-0.25709693432800806,0.0,0.25709693432800806
