regressor,beta1_level,beta2_slope,beta3_curvature,pc1_inflacao,pc1_atividade,pc1_fiscal,bbg_selic
intercept,-0.02516119003447792,0.008034971728937136,1.4087991041950085,0.2922856083544485,-1.2581786109610242,0.3898243691930322,0.02617439916524814
lag1_beta1_level,0.9833452865706059,-0.0802122669744665,0.5741844061802363,1.7522542570820436,-0.4565069733086404,0.016342796902168496,0.0083649640512235
lag1_beta2_slope,0.01457569625128416,0.9026854530184759,0.656288217794219,1.1088652713106617,-0.16451321345986777,-0.06040573534455083,0.015229311825515329
lag1_beta3_curvature,0.029926265699183163,-0.03243151986952213,0.8380529404713674,0.22787843952311634,-0.1052406257247289,-0.008298636569412246,-0.0009046688182003104
lag1_pc1_inflacao,-0.1912130747984844,0.19142703061857602,0.2834973375452522,0.20048217860959885,0.023300834697145934,-0.04507827549514127,-0.003036808622249491
lag1_pc1_atividade,0.016916172191228495,-0.01201232767335377,-0.024959933453090805,0.07792555695601627,0.047862575417696736,0.006051767514426262,-0.002612704857433365
lag1_pc1_fiscal,0.05337991665262686,-0.045438826827440076,-0.08668035158685336,0.003470853266151177,-0.022272400942763577,-0.028344255690095615,-0.0039056075459658526
lag1_bbg_selic,-0.1589406736188005,0.14340772412120775,0.39654629660121105,-0.12537941362027794,-0.260530302059718,0.054274146744817946,0.8142255042948859
lag2_beta1_level,-0.01073858959904228,0.1651677678452293,-0.6724827219340765,-1.798492584186345,0.5591942346080143,-0.15059669856114716,0.07116152782108652
lag2_beta2_slope,0.0032694406629498324,0.12928252283556674,-0.7094858944644543,-1.104433153043218,0.18142894954491057,-0.027026253970220782,0.06106351582743815
lag2_beta3_curvature,-0.006080959615319154,0.013850537707754604,0.07402747289381163,-0.21749908001986382,0.14882054683324714,0.01283007896740656,0.0027828281240130925
lag2_pc1_inflacao,0.0024946687576449236,0.00968827483713973,0.014438857888760918,0.2278811447966972,-0.040851573247945784,-0.15753382386458317,-0.001092663617270497
lag2_pc1_atividade,0.008760780092806635,-0.010656444588943544,0.008062061247337552,0.09464359396857358,0.014358754044470566,-0.029462331808717577,-0.0008912942282228522
lag2_pc1_fiscal,0.041106299794300936,-0.0391271355847176,-0.08472547235197027,-0.017785639943663493,0.0010056679003053201,-0.0105205044974051,0.0035340657871643266
lag2_bbg_selic,0.18386452155297367,-0.22555193984637173,-0.4032013784884301,0.1438930861795064,0.25336725632284535,0.03352734838090237,0.10538107091583497
